|Id|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_0|PAY_2|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT1|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT1|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6|Prediction|Score
23|23|80000.0|2.0|2.0|1.0|41.0|-1.0|-1.0|-1.0|-1.0|0.0|0.0|2727.0|1679.0|566.0|61664.0|58281.0|58281.0|1679.0|566.0|61664.0|0.0|0.0|4480.0|0|0.7132677435874939
24|24|190000.0|2.0|2.0|1.0|43.0|1.0|2.0|0.0|0.0|0.0|0.0|189697.0|185105.0|184180.0|156969.0|157856.0|158451.0|0.0|9021.0|6000.0|5489.0|5670.0|6000.0|1|0.7104524970054626
25|25|80000.0|2.0|2.0|1.0|37.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|2000.0|2000.0|2000.0|2000.0|2000.0|2000.0|2000.0|2000.0|2000.0|2000.0|2000.0|4206.0|0|0.6312902569770813
26|26|340000.0|2.0|2.0|1.0|36.0|0.0|0.0|0.0|0.0|0.0|0.0|167474.0|155293.0|134467.0|129891.0|113919.0|106675.0|7106.0|4435.0|4091.0|3548.0|4535.0|4127.0|0|0.8093847632408142
27|27|30000.0|1.0|2.0|1.0|40.0|0.0|0.0|0.0|0.0|0.0|0.0|25328.0|22520.0|21554.0|22280.0|18330.0|780.0|2000.0|2000.0|2000.0|1000.0|0.0|0.0|0|0.5446717143058777
28|28|20000.0|2.0|2.0|1.0|31.0|0.0|0.0|0.0|0.0|-2.0|-2.0|5500.0|8360.0|6000.0|0.0|0.0|0.0|3000.0|1000.0|0.0|0.0|0.0|0.0|0|0.5730203986167908
29|29|200000.0|1.0|1.0|1.0|49.0|-1.0|-1.0|-1.0|-1.0|0.0|-1.0|416.0|416.0|0.0|832.0|416.0|416.0|416.0|0.0|1248.0|0.0|416.0|416.0|1|0.550836443901062
30|30|220000.0|2.0|1.0|1.0|32.0|1.0|2.0|2.0|2.0|2.0|2.0|202792.0|198157.0|211340.0|209612.0|219064.0|222672.0|0.0|16501.0|3200.0|13000.0|7500.0|0.0|1|0.8777531385421753
31|31|220000.0|2.0|2.0|2.0|35.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|3327.0|-17.0|2706.0|0.0|0.0|92472.0|0.0|2723.0|0.0|0.0|92472.0|10000.0|0|0.5123820304870605
32|32|110000.0|2.0|2.0|2.0|29.0|1.0|2.0|2.0|2.0|2.0|2.0|21068.0|16412.0|16809.0|8682.0|8861.0|8623.0|1102.0|1000.0|0.0|602.0|0.0|1000.0|1|0.7776073217391968
33|33|50000.0|2.0|3.0|1.0|42.0|0.0|0.0|2.0|0.0|0.0|0.0|28693.0|31854.0|31065.0|31976.0|29300.0|31151.0|3644.0|0.0|1766.0|1036.0|2700.0|0.0|1|0.5289719700813293
34|34|30000.0|1.0|2.0|1.0|29.0|0.0|0.0|0.0|0.0|0.0|-2.0|29852.0|30348.0|31570.0|32661.0|0.0|0.0|1600.0|1738.0|1829.0|0.0|0.0|0.0|0|0.5406710505485535
35|35|20000.0|1.0|3.0|2.0|47.0|1.0|2.0|0.0|0.0|0.0|2.0|17629.0|17053.0|17796.0|18729.0|19049.0|17300.0|0.0|1325.0|1258.0|1373.0|0.0|602.0|1|0.8068112730979919
36|36|50000.0|2.0|3.0|2.0|44.0|2.0|0.0|0.0|2.0|2.0|2.0|23268.0|24377.0|27164.0|26429.0|28291.0|27702.0|1500.0|3500.0|0.0|2300.0|0.0|1500.0|1|0.8923622965812683
37|37|500000.0|1.0|1.0|2.0|28.0|0.0|0.0|0.0|0.0|0.0|0.0|92442.0|96905.0|111219.0|251573.0|300336.0|269964.0|7036.0|20042.0|150122.0|75182.0|11486.0|11162.0|0|0.8209659457206726
38|38|90000.0|2.0|1.0|2.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|6090.0|7477.0|8848.0|10135.0|11731.0|8138.0|1500.0|1500.0|1500.0|2000.0|1500.0|1000.0|0|0.7181612253189087
39|39|420000.0|2.0|1.0|1.0|45.0|1.0|-1.0|-1.0|-1.0|-1.0|0.0|0.0|23621.0|29042.0|35000.0|292962.0|247622.0|23621.0|29052.0|35000.0|292962.0|0.0|606.0|0|0.9561577439308167
40|40|300000.0|2.0|2.0|1.0|48.0|-1.0|-1.0|-1.0|-2.0|-1.0|-1.0|440.0|452.0|0.0|0.0|3427.0|1098.0|452.0|0.0|0.0|3427.0|1098.0|0.0|0|0.6166570782661438
41|41|360000.0|2.0|1.0|1.0|49.0|1.0|-2.0|-2.0|-2.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0.6843072772026062
42|42|50000.0|1.0|3.0|1.0|54.0|1.0|2.0|2.0|0.0|0.0|0.0|62847.0|60885.0|56828.0|55419.0|54054.0|53143.0|2100.0|0.0|2000.0|2000.0|2455.0|4000.0|1|0.7163646221160889
43|43|500000.0|2.0|2.0|1.0|33.0|0.0|0.0|0.0|0.0|0.0|-1.0|48415.0|50588.0|32091.0|19615.0|23084.0|4528.0|15021.0|1408.0|392.0|7000.0|4528.0|22021.0|0|0.9049428701400757
44|44|290000.0|2.0|2.0|2.0|54.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|-68.0|-68.0|-68.0|675.0|-6.0|2168.0|0.0|0.0|743.0|0.0|2174.0|972.0|1|0.5079156160354614
45|45|290000.0|2.0|1.0|1.0|35.0|-1.0|-1.0|-2.0|-2.0|-1.0|-1.0|703.0|-20.0|-20.0|-20.0|2663.0|-677.0|0.0|0.0|0.0|2800.0|0.0|0.0|0|0.6559762358665466
46|46|20000.0|2.0|3.0|1.0|39.0|1.0|2.0|2.0|2.0|2.0|0.0|8562.0|9478.0|8198.0|9752.0|9447.0|10290.0|1200.0|0.0|1700.0|0.0|1000.0|1500.0|1|0.7977688312530518
47|47|110000.0|2.0|2.0|1.0|35.0|-1.0|-1.0|-1.0|0.0|0.0|-1.0|1245.0|1245.0|1490.0|2490.0|1245.0|2675.0|1245.0|1490.0|2245.0|0.0|2675.0|0.0|0|0.5022181272506714
48|48|230000.0|2.0|1.0|2.0|31.0|0.0|0.0|0.0|-1.0|0.0|-1.0|33109.0|29830.0|11750.0|5194.0|15450.0|9368.0|5000.0|5000.0|15897.0|12000.0|9368.0|6000.0|0|0.8503949642181396
49|49|50000.0|2.0|2.0|2.0|23.0|0.0|0.0|0.0|0.0|0.0|0.0|47654.0|48529.0|44669.0|45684.0|46592.0|47568.0|2000.0|1743.0|1758.0|1666.0|1725.0|2128.0|0|0.6955544352531433
50|50|150000.0|2.0|1.0|2.0|29.0|0.0|0.0|0.0|0.0|0.0|0.0|147331.0|146999.0|146277.0|147946.0|145846.0|143531.0|6740.0|6850.0|5664.0|5660.0|5480.0|5310.0|0|0.7145755887031555
51|51|160000.0|2.0|3.0|1.0|45.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|2869.0|2357.0|5608.0|1851.0|2801.0|3268.0|2361.0|5608.0|1851.0|2801.0|3268.0|2096.0|0|0.6967741847038269
52|52|190000.0|1.0|1.0|1.0|36.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|1779.0|1288.0|1655.0|1213.0|344.0|221.0|1288.0|1655.0|1213.0|344.0|221.0|28160.0|0|0.6087335348129272
53|53|60000.0|1.0|2.0|1.0|33.0|0.0|0.0|0.0|0.0|0.0|0.0|42246.0|38923.0|32532.0|27780.0|29280.0|39976.0|2008.0|3004.0|3003.0|2000.0|1064.0|2000.0|0|0.6433645486831665
54|54|20000.0|1.0|1.0|2.0|22.0|0.0|0.0|0.0|0.0|0.0|0.0|23538.0|22780.0|23623.0|19600.0|20100.0|0.0|3000.0|1400.0|2500.0|500.0|0.0|0.0|0|0.7270562052726746
55|55|110000.0|1.0|2.0|1.0|50.0|1.0|-1.0|0.0|0.0|0.0|0.0|-10682.0|50928.0|54711.0|55926.0|18030.0|18367.0|62000.0|5000.0|3000.0|2000.0|1000.0|2000.0|0|0.5595912337303162
56|56|240000.0|2.0|2.0|2.0|25.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.5583675503730774
57|57|90000.0|1.0|3.0|2.0|25.0|0.0|0.0|0.0|0.0|-2.0|-2.0|6822.0|6995.0|7884.0|0.0|0.0|0.0|1172.0|1061.0|0.0|0.0|0.0|193.0|1|0.5024461150169373
58|58|200000.0|1.0|2.0|1.0|54.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|10755.0|9981.0|7843.0|6335.0|4616.0|7956.0|10120.0|7852.0|6336.0|4622.0|7956.0|5499.0|0|0.7037256956100464
59|59|500000.0|1.0|2.0|2.0|32.0|0.0|0.0|0.0|0.0|0.0|-1.0|331751.0|254846.0|162969.0|142735.0|76989.0|106476.0|10558.0|7410.0|3068.0|94.0|106476.0|152.0|0|0.9148861765861511
60|60|180000.0|2.0|2.0|1.0|31.0|0.0|0.0|0.0|0.0|0.0|0.0|173517.0|160996.0|132054.0|115551.0|109539.0|108837.0|10122.0|35206.0|40600.0|5000.0|10000.0|10000.0|0|0.6178642511367798
61|61|150000.0|1.0|3.0|2.0|29.0|1.0|3.0|2.0|2.0|2.0|2.0|54803.0|52996.0|51169.0|53979.0|52639.0|58508.0|0.0|0.0|4000.0|0.0|7127.0|0.0|1|0.734779417514801
62|62|10000.0|2.0|1.0|2.0|23.0|2.0|2.0|7.0|7.0|7.0|6.0|2400.0|2400.0|2400.0|2400.0|2400.0|1800.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0.9905941486358643
63|63|60000.0|1.0|1.0|2.0|29.0|0.0|0.0|0.0|0.0|0.0|0.0|11976.0|13462.0|15231.0|16966.0|17878.0|19085.0|2000.0|2000.0|2000.0|1500.0|1500.0|1500.0|0|0.7040468454360962
64|64|10000.0|2.0|2.0|2.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|9150.0|9206.0|10051.0|9850.0|8214.0|8054.0|1185.0|1030.0|1000.0|1000.0|2000.0|2000.0|0|0.5596675872802734
65|65|450000.0|1.0|1.0|2.0|34.0|0.0|0.0|0.0|0.0|0.0|0.0|260733.0|228515.0|232762.0|208005.0|194608.0|201044.0|20255.0|50171.0|7096.0|6604.0|10012.0|10000.0|0|0.9114546775817871
66|66|360000.0|1.0|2.0|1.0|38.0|1.0|-2.0|-2.0|-2.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0.6772420406341553
67|67|360000.0|2.0|1.0|1.0|31.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|0.0|18540.0|9007.0|9500.0|8675.0|6573.0|18540.0|10000.0|10000.0|9000.0|6600.0|32810.0|0|0.8819913268089294
68|68|360000.0|2.0|1.0|1.0|39.0|1.0|-2.0|-2.0|-1.0|0.0|-1.0|-390.0|-390.0|-390.0|10872.0|10540.0|2203.0|0.0|0.0|11652.0|358.0|2203.0|390.0|1|0.5488633513450623
69|69|150000.0|1.0|1.0|2.0|30.0|-1.0|-1.0|-1.0|0.0|-1.0|-1.0|3415.0|2419.0|1541.0|1345.0|23018.0|1989.0|2425.0|1541.0|4.0|23087.0|1996.0|4010.0|0|0.5863633751869202
70|70|30000.0|2.0|1.0|2.0|41.0|0.0|0.0|0.0|0.0|0.0|0.0|22346.0|26357.0|29043.0|29419.0|29848.0|29306.0|8816.0|4021.0|2000.0|5000.0|6000.0|6000.0|0|0.6630056500434875
71|71|330000.0|1.0|1.0|1.0|53.0|1.0|-2.0|-1.0|-1.0|-1.0|0.0|-317.0|-2066.0|-3283.0|3542.0|7643.0|9584.0|569.0|817.0|6976.0|7645.0|2188.0|7.0|1|0.6334436535835266
72|72|240000.0|2.0|1.0|1.0|33.0|0.0|0.0|0.0|0.0|0.0|0.0|214361.0|218626.0|223329.0|227820.0|227154.0|231935.0|7830.0|8231.0|8332.0|8187.0|8500.0|8029.0|0|0.6343387365341187
73|73|50000.0|2.0|3.0|2.0|22.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|2498.0|-2.0|1697.0|0.0|0.0|5000.0|0.0|1699.0|0.0|0.0|5000.0|0.0|0|0.6713683009147644
74|74|30000.0|2.0|3.0|1.0|46.0|0.0|0.0|0.0|0.0|0.0|2.0|9847.0|10857.0|11877.0|12891.0|13960.0|14082.0|1181.0|1201.0|1215.0|1284.0|490.0|0.0|1|0.513658881187439
75|75|300000.0|2.0|1.0|2.0|26.0|0.0|0.0|0.0|0.0|0.0|0.0|10545.0|10421.0|15196.0|19406.0|23260.0|15423.0|3000.0|5000.0|5000.0|4000.0|5000.0|5000.0|0|0.9140030145645142
76|76|500000.0|1.0|1.0|1.0|51.0|0.0|0.0|0.0|0.0|0.0|0.0|225233.0|235045.0|244517.0|243132.0|243869.0|251540.0|15000.0|15006.0|10000.0|10000.0|12000.0|15000.0|0|0.8068713545799255
77|77|190000.0|1.0|3.0|1.0|29.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|51632.0|9803.0|3427.0|924.0|-876.0|-969.0|1000.0|3524.0|929.0|869.0|7.0|1587.0|0|0.6711896657943726
78|78|420000.0|1.0|1.0|1.0|36.0|-1.0|2.0|-1.0|-1.0|-1.0|-1.0|860.0|430.0|2010.0|6058.0|160.0|580.0|0.0|2010.0|6058.0|160.0|1000.0|430.0|0|0.5510948896408081
79|79|260000.0|1.0|1.0|2.0|31.0|0.0|0.0|0.0|0.0|0.0|0.0|102350.0|96133.0|90183.0|89846.0|101034.0|84152.0|4033.0|4000.0|4005.0|14066.0|3017.0|2736.0|0|0.8096665740013123
80|80|230000.0|2.0|1.0|2.0|44.0|0.0|0.0|0.0|0.0|0.0|0.0|230101.0|224517.0|223544.0|147971.0|61570.0|80279.0|10125.0|12966.0|5506.0|1623.0|80000.0|105451.0|0|0.5230086445808411
81|81|400000.0|1.0|2.0|2.0|33.0|0.0|0.0|0.0|0.0|0.0|0.0|61705.0|58018.0|52383.0|48139.0|35898.0|30754.0|3000.0|3000.0|3000.0|4000.0|3000.0|4000.0|0|0.8592107892036438
82|82|280000.0|1.0|1.0|2.0|32.0|0.0|0.0|0.0|0.0|0.0|0.0|217798.0|202676.0|199490.0|181857.0|183324.0|177920.0|10050.0|10123.0|10001.0|6244.0|6315.0|7037.0|0|0.7246524691581726
83|83|20000.0|2.0|3.0|2.0|54.0|0.0|0.0|0.0|0.0|0.0|0.0|16120.0|17160.0|18083.0|15096.0|15396.0|15720.0|1308.0|1231.0|1244.0|544.0|565.0|1500.0|0|0.6181917190551758
84|84|400000.0|2.0|2.0|1.0|42.0|-2.0|-2.0|-1.0|0.0|0.0|0.0|0.0|641.0|1290.0|1319.0|694.0|697.0|641.0|1290.0|29.0|0.0|3.0|703.0|1|0.6464489698410034
85|85|70000.0|1.0|1.0|2.0|29.0|0.0|0.0|0.0|2.0|0.0|0.0|32938.0|33635.0|35287.0|36002.0|37096.0|37999.0|1548.0|2200.0|1600.0|2000.0|1500.0|3000.0|0|0.5786405205726624
86|86|240000.0|1.0|1.0|1.0|43.0|0.0|0.0|0.0|0.0|0.0|2.0|67120.0|68473.0|69899.0|71946.0|75425.0|74377.0|2200.0|2263.0|2930.0|5000.0|0.0|3000.0|0|0.5800732374191284
87|87|130000.0|2.0|1.0|2.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|55368.0|58035.0|47313.0|44568.0|48560.0|51529.0|5000.0|5000.0|5000.0|5000.0|5000.0|5000.0|0|0.8602717518806458
88|88|130000.0|1.0|1.0|2.0|30.0|0.0|0.0|0.0|0.0|0.0|0.0|77939.0|78524.0|63421.0|60269.0|59984.0|27126.0|3916.0|3000.0|3000.0|3000.0|1000.0|2000.0|0|0.8028225898742676
89|89|280000.0|2.0|2.0|1.0|51.0|2.0|2.0|2.0|2.0|0.0|0.0|258764.0|279451.0|280882.0|218619.0|201679.0|195934.0|25000.0|7500.0|0.0|6500.0|7000.0|6000.0|1|0.9008046984672546
90|90|50000.0|2.0|2.0|1.0|36.0|0.0|0.0|0.0|-1.0|-1.0|-1.0|27433.0|12916.0|6509.0|4417.0|0.0|4331.0|1161.0|1000.0|5254.0|4166.0|8497.0|4679.0|0|0.5757114887237549
91|91|240000.0|2.0|1.0|2.0|35.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|5757.0|2904.0|24671.0|2249.0|4505.0|11859.0|3242.0|24685.0|3535.0|4505.0|11859.0|12000.0|0|0.7537904977798462
92|92|30000.0|2.0|3.0|2.0|48.0|0.0|0.0|0.0|0.0|0.0|0.0|1445.0|3410.0|5338.0|7239.0|9112.0|10949.0|2000.0|2000.0|2000.0|2000.0|2000.0|2000.0|0|0.5882132053375244
93|93|460000.0|1.0|1.0|1.0|40.0|2.0|-1.0|-1.0|-1.0|-1.0|-1.0|171.0|2715.0|-13.0|2641.0|-10.0|22535.0|2728.0|0.0|2654.0|0.0|22545.0|0.0|1|0.5274014472961426
94|94|90000.0|2.0|2.0|2.0|43.0|0.0|0.0|2.0|0.0|0.0|0.0|17503.0|20898.0|20263.0|20145.0|24845.0|23745.0|4000.0|0.0|3000.0|8000.0|5000.0|5000.0|0|0.571347713470459
95|95|230000.0|2.0|1.0|2.0|27.0|0.0|0.0|0.0|0.0|0.0|0.0|105217.0|107857.0|110177.0|60137.0|62035.0|64034.0|4326.0|4533.0|2337.0|3035.0|3034.0|3101.0|0|0.9010047316551208
96|96|200000.0|2.0|2.0|1.0|28.0|-2.0|-2.0|-2.0|-2.0|-2.0|-2.0|34819.0|165.0|1850.0|1538.0|165.0|165.0|165.0|1850.0|1538.0|165.0|165.0|165.0|0|0.6339627504348755
97|97|130000.0|2.0|2.0|2.0|42.0|0.0|0.0|0.0|0.0|0.0|0.0|42946.0|43969.0|44975.0|45723.0|46515.0|47450.0|1676.0|1682.0|1430.0|1318.0|1331.0|1525.0|0|0.7493293285369873
98|98|300000.0|2.0|2.0|2.0|39.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|6293.0|5483.0|990.0|990.0|990.0|990.0|5490.0|990.0|990.0|990.0|990.0|990.0|0|0.5511718988418579
99|99|140000.0|2.0|2.0|1.0|39.0|-1.0|-1.0|-1.0|0.0|0.0|0.0|1007.0|3680.0|4214.0|3790.0|3357.0|3426.0|3685.0|4214.0|76.0|67.0|69.0|1376.0|0|0.549627959728241
100|100|70000.0|2.0|2.0|1.0|44.0|0.0|0.0|0.0|0.0|0.0|0.0|4221.0|6642.0|8361.0|10208.0|11038.0|11848.0|2500.0|2000.0|2000.0|1000.0|1000.0|1000.0|0|0.6324595212936401
101|101|50000.0|1.0|1.0|2.0|46.0|0.0|0.0|-2.0|-2.0|-2.0|-2.0|51400.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.5708469748497009
102|102|140000.0|2.0|1.0|1.0|33.0|0.0|0.0|0.0|0.0|0.0|0.0|85314.0|87042.0|90165.0|91318.0|94847.0|35773.0|4000.0|5000.0|2000.0|4000.0|5000.0|6000.0|0|0.7053014039993286
103|103|160000.0|1.0|4.0|2.0|26.0|0.0|0.0|0.0|0.0|0.0|0.0|11152.0|11354.0|11486.0|12176.0|8044.0|0.0|5398.0|5676.0|8874.0|161.0|0.0|0.0|0|0.6565386652946472
104|104|50000.0|2.0|3.0|1.0|50.0|0.0|0.0|2.0|0.0|0.0|0.0|35415.0|38940.0|36319.0|22538.0|23013.0|23465.0|6960.0|0.0|1000.0|1000.0|1000.0|1000.0|1|0.5057404637336731
105|105|100000.0|2.0|3.0|1.0|24.0|1.0|2.0|0.0|0.0|0.0|0.0|56341.0|54869.0|67965.0|73871.0|79707.0|85433.0|0.0|14130.0|7065.0|7065.0|7065.0|0.0|1|0.5531529784202576
106|106|190000.0|2.0|2.0|1.0|37.0|0.0|0.0|2.0|2.0|2.0|2.0|105679.0|115049.0|117856.0|119570.0|116284.0|123528.0|11000.0|6000.0|5000.0|0.0|9000.0|4000.0|1|0.6169854998588562
107|107|200000.0|2.0|2.0|1.0|46.0|-1.0|-1.0|-1.0|0.0|0.0|0.0|722.0|9086.0|9213.0|7360.0|11560.0|21808.0|9086.0|9219.0|147.0|4200.0|11808.0|4067.0|0|0.6930457949638367
108|108|130000.0|1.0|3.0|1.0|43.0|2.0|2.0|2.0|2.0|2.0|2.0|55544.0|57428.0|58917.0|60352.0|61167.0|63042.0|3400.0|3000.0|3000.0|2400.0|3000.0|2400.0|1|0.8729245066642761
109|109|320000.0|2.0|1.0|2.0|32.0|-1.0|0.0|-1.0|-1.0|-1.0|-1.0|13122.0|6796.0|7788.0|6751.0|8354.0|12271.0|1500.0|8000.0|7000.0|8500.0|13000.0|15000.0|0|0.8598154187202454
110|110|210000.0|1.0|1.0|2.0|33.0|1.0|-2.0|-2.0|-2.0|-1.0|-1.0|0.0|0.0|0.0|0.0|700.0|0.0|0.0|0.0|0.0|700.0|0.0|0.0|1|0.5128916501998901
111|111|210000.0|1.0|2.0|1.0|44.0|1.0|2.0|0.0|0.0|0.0|0.0|236136.0|220847.0|216703.0|206635.0|96240.0|88040.0|0.0|9400.0|5000.0|2000.0|1800.0|10000.0|1|0.7335087656974792
112|112|10000.0|2.0|3.0|2.0|42.0|0.0|0.0|-1.0|-1.0|-1.0|-1.0|4908.0|5665.0|381.0|390.0|0.0|780.0|1275.0|381.0|399.0|0.0|780.0|0.0|0|0.6506584882736206
113|113|60000.0|1.0|1.0|2.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|13123.0|14403.0|16150.0|17870.0|19571.0|21235.0|1500.0|2000.0|2000.0|2000.0|2000.0|1000.0|0|0.7323386073112488
